,atomic_number,atomic_element_symbol,atomic_method,atomic_basis_set,atomic_hfomo,atomic_hpomo,atomic_lfumo,atomic_lpumo,atomic_ea_by_energy_difference,atomic_ip_by_energy_difference,atomic_ea_by_half_charged_homo,atomic_ip_by_half_charged_homo,r_s,r_p,r_d,r_valence
87,88,Ra,pbesol,NAO/really_tight,-5.24977202454432E-19,-5.24977202454432E-19,-1.85943812080186E-19,-1.85943812080186E-19,1.73720438177801E-19,8.73917908364139E-19,2.05197168532339E-19,8.73208688808692E-19,2.15585,,,2.15585
88,89,Ac,pbesol,NAO/really_tight,-6.24643803504538E-19,-3.51570422432006E-19,-6.43257891484992E-20,-3.51570422432006E-19,7.08863979899679E-20,8.27969902118954E-19,7.78113097657728E-20,8.15209895135731E-19,1.98685,,,1.40365
89,90,Th,pbesol,NAO/really_tight,-6.54240812220576E-19,-4.06585963237037E-19,6.96738547087296E-20,-4.12084633399622E-19,5.41486191002802E-20,9.00843752158837E-19,6.75253358602368E-20,8.9175067884121E-19,1.89165,,,1.31245
90,91,Pa,pbesol,NAO/really_tight,-6.2987491017145E-19,-3.37769273020435E-19,9.45588619829952E-20,-3.38994938135347E-19,1.25351062410566E-19,8.66389793094615E-19,1.30824129794803E-19,8.16994719891302E-19,1.88375,,,0.58815
91,92,U,pbesol,NAO/really_tight,-6.04333010482656E-19,-2.64194118240058E-19,3.97724324347392E-19,-2.69130424408742E-19,2.00019414323118E-19,8.84487227144557E-19,2.04272712622138E-19,8.35921232312813E-19,1.87585,,,0.567250000000001
92,93,Np,pbesol,NAO/really_tight,-5.77227386411962E-19,-1.90444326208013E-19,5.4764319510889E-19,-1.98993540656602E-19,2.73529072166709E-19,9.12683693213019E-19,2.77554669080909E-19,9.76194999817094E-19,1.86525,,,0.54765
93,94,Pu,pbesol,NAO/really_tight,-5.84566957511846E-19,-2.86462771092557E-19,-1.71016332504192E-19,-2.86462771092557E-19,2.83238038115043E-19,9.9481706661832E-19,2.98495117514765E-19,1.04327653275337E-18,1.84785,,,0.524550000000001
94,95,Am,pbesol,NAO/really_tight,-3.78802618455744E-19,-3.78802618455744E-19,-1.48635527288237E-19,-1.48635527288237E-19,3.32904536051197E-19,1.02035986352006E-18,3.86098930786867E-19,1.05039660565621E-18,1.81705,,,0.50615
95,96,Cm,pbesol,NAO/really_tight,-3.27651527660083E-19,-3.27651527660083E-19,-7.7168836940832E-20,-7.7168836940832E-20,4.26244750481496E-19,1.00378754142735E-18,4.85312115853286E-19,1.0421854504746E-18,1.79045,,,0.49275
96,97,Bk,pbesol,NAO/really_tight,-5.53427052709978E-19,-5.53427052709978E-19,-1.04948977368883E-19,-1.04948977368883E-19,3.04117315476829E-19,1.01222534042186E-18,4.13414439994886E-19,1.0162654371033E-18,1.76535,,,0.474650000000001
97,98,Cf,pbesol,NAO/really_tight,-5.93531135705223E-19,-5.93531135705223E-19,-7.01464968118656E-20,-7.01464968118656E-20,2.72923657671689E-19,9.99384872187897E-19,3.3793910374224E-19,1.00240180280352E-18,1.74635,,,0.46125
98,99,Es,pbesol,NAO/really_tight,-5.86593710937158E-19,-5.86593710937158E-19,-2.3359735131264E-20,-2.3359735131264E-20,2.40007820181068E-19,9.87225088653519E-19,2.67882328821139E-19,9.90209238719232E-19,1.73345,,,0.44885
99,100,Fm,pbesol,NAO/really_tight,-5.79588994751021E-19,-5.79588994751021E-19,2.06264218161792E-20,2.06264218161792E-20,2.15498042667922E-19,9.77253077276153E-19,2.17160621359853E-19,9.80490435337459E-19,1.72165,,,0.437350000000001
100,101,Md,pbesol,NAO/really_tight,-5.73125814262714E-19,-5.73125814262714E-19,5.93462242110528E-20,5.93462242110528E-20,1.72752611289399E-19,9.70147103514631E-19,1.52312522632973E-19,9.73126831588263E-19,1.70145,,,1.70145
101,102,No,pbesol,NAO/really_tight,-6.40787335135718E-19,-6.40787335135718E-19,8.6020862770752E-21,8.6020862770752E-21,3.66201499331458E-19,1.09468829766669E-18,3.68035991563968E-19,1.09392614226672E-18,1.64525,,,1.64525
